"build_time_min","deploy_time_min","commit_size_loc","num_bugs","test_coverage_pct","ticket_resolution_h","team","module","priority","deploy_status"
5.52,2.1,208,2,68.38,13.8,"Delta","ui","media","success"
6.05,2.05,216,3,86.64,53.6,"Gamma","auth","baja","success"
14.22,2.23,216,0,72.91,47.04,"Delta","notifications","media","success"
14.99,5.02,200,3,55.05,63.85,"Gamma","api","media","success"
19.3,NA,218,0,90.32,68.56,"Gamma","ui","alta","failed"
6.06,8.93,220,0,68.75,2.25,"Gamma","database","media","success"
14.21,7.85,217,3,74.06,46.24,"Delta","ui","media","success"
12.55,3.87,242,1,84.4,32.06,"Beta","auth","media","success"
6.6,16.1,220,1,89.23,22.54,"Gamma","api","alta","success"
12.58,7.04,210,1,77.76,NA,"Beta","ui","baja","rolled_back"
10.85,4.17,225,2,66.52,13.76,"Beta","api","media","success"
6.72,11.24,234,1,56.98,11.3,"Gamma","api","media","success"
9.69,8.83,220,2,71.49,69.96,"Alpha","auth","media","success"
6.57,2.65,220,3,70.23,7.86,"Alpha","api","media","success"
9.26,2.31,227,3,89.85,30.57,"Beta","payments","crítica","success"
5.87,4.59,222,NA,88.85,12.34,"Delta","auth","baja","rolled_back"
14.52,2.94,194,3,82.98,26.39,"Gamma","database","baja","success"
17.97,9.45,196,0,80.08,8.21,"Delta","database","media","success"
8.16,1.66,223,1,93.01,42.67,"Alpha","notifications","media","success"
13.64,8.95,213,4,79.05,73.08,"Alpha","api","media","success"
14.49,17.24,218,1,78.29,16.9,"Gamma","database","baja","success"
7.83,5.26,214,1,75.46,20.88,"Alpha","api","alta","success"
5.76,NA,228,2,77.2,19.04,"Alpha","auth","baja","failed"
23.95,NA,239,2,79.84,55.64,"Delta","notifications","alta","failed"
16.77,NA,211,1,69.14,70.65,"Delta","ui","baja","failed"
15.82,7.17,203,1,52.66,11.67,"Beta","api","media","success"
6.19,6.78,218,1,87.73,3.32,"Gamma","auth","baja","success"
10.07,2.34,205,2,88.26,72.72,"Beta","api","baja","success"
10.75,2.44,241,1,76.94,43.27,"Gamma","payments","alta","success"
8.39,6.64,208,NA,94.63,7.17,"Delta","api","baja","rolled_back"
15.49,8.26,230,1,84.96,5.39,"Beta","payments","baja","success"
8.58,2.7,221,1,71.57,18.87,"Beta","api","media","success"
10.13,2.58,205,2,91.35,2.46,"Beta","api","baja","success"
20.47,10.41,214,0,75.52,85.72,"Gamma","ui","media","success"
15.07,6.68,227,1,71.45,30.59,"Delta","api","baja","success"
6.57,6.76,221,0,83.41,24.07,"Alpha","ui","media","success"
8.55,5.59,230,3,86.3,46.83,"Alpha","ui","alta","success"
3.17,NA,204,2,NA,4.17,"Alpha","payments","alta","failed"
5.04,9.4,216,0,48.57,5.81,"Beta","database","baja","success"
9.35,10.78,225,0,89.53,60.34,"Beta","api","media","success"
4.72,5.53,223,0,80.05,5.83,"Delta","auth","crítica","success"
10.04,1.68,197,2,70.95,9.9,"Alpha","ui","crítica","success"
10.24,5.36,209,2,70,48.73,"Beta","api","baja","success"
6.61,NA,201,2,67.76,5.62,"Alpha","api","media","failed"
20.51,2,221,1,90.19,61.83,"Beta","api","media","success"
11.72,NA,231,4,67.24,55.82,"Beta","ui","media","failed"
5.67,6.76,224,1,72.06,44.65,"Beta","notifications","media","success"
10.25,4.28,219,2,91.44,78.77,"Delta","api","baja","success"
16.29,6.83,212,0,75.4,24.12,"Gamma","database","media","success"
18.28,7.41,236,2,87.13,29.35,"Beta","payments","baja","success"
5.87,7.68,197,1,65.48,2.72,"Delta","database","media","success"
5.86,7.53,233,0,75.62,1.84,"Alpha","database","media","success"
8.19,3.64,214,1,88.31,17.47,"Delta","notifications","alta","success"
8.74,10.9,237,3,81.85,9.67,"Beta","api","alta","success"
6.59,4.3,227,0,83.35,0.74,"Delta","api","baja","success"
18.18,4.34,216,2,65.12,7.12,"Beta","api","baja","success"
8.34,1.97,197,2,76.74,39.85,"Beta","ui","media","success"
11.51,4.9,210,2,69.99,6.52,"Gamma","ui","media","success"
3.75,4.78,243,0,85.33,13.98,"Delta","api","baja","success"
4.5,9.61,208,3,73.85,38.67,"Delta","ui","baja","success"
18.54,2.58,206,1,59.28,6.33,"Beta","auth","media","success"
6.2,7.05,216,0,59.25,35.01,"Beta","ui","media","success"
5.42,6.13,224,1,97.24,22.54,"Beta","auth","alta","success"
5.16,3.18,258,2,92.05,0.95,"Beta","notifications","baja","success"
7.93,NA,221,3,80.77,66.92,"Alpha","ui","baja","failed"
24.75,4.79,233,2,90.63,27.29,"Alpha","api","baja","success"
9.03,NA,208,0,90.91,29.29,"Gamma","ui","baja","failed"
11.03,NA,215,0,75.38,45.07,"Delta","database","baja","failed"
8.64,NA,226,1,84,10.62,"Alpha","notifications","baja","failed"
13.7,5.64,208,0,78.54,38.55,"Alpha","ui","baja","success"
17.19,2.5,219,3,97.99,24.17,"Alpha","api","baja","success"
10.65,13.24,225,0,60.86,26.25,"Beta","api","baja","success"
14.94,2.83,249,1,58.58,0.88,"Beta","auth","media","success"
9.21,5.44,206,1,93.11,38.31,"Alpha","api","baja","success"
8.65,11.96,208,2,74.44,82.39,"Beta","api","media","rolled_back"
19.94,2.94,208,0,68.87,4.28,"Gamma","payments","crítica","success"
14.76,3.68,206,1,74.38,2.84,"Gamma","auth","media","success"
9.56,6.3,225,0,90.77,34.23,"Beta","auth","baja","success"
6.28,4.19,217,0,98.21,3.67,"Delta","notifications","media","success"
12.66,7.08,193,4,88.98,45.12,"Gamma","database","media","success"
10.22,NA,218,0,63.84,45.73,"Alpha","api","baja","failed"
12.18,2.97,229,1,85.19,2.45,"Gamma","payments","media","success"
22.48,4.65,207,2,85.8,58.19,"Gamma","database","crítica","success"
11.25,NA,202,0,74.85,0.78,"Gamma","api","baja","failed"
18.28,6.44,239,1,82.55,15.7,"Alpha","ui","alta","success"
7.83,6.87,228,4,63.99,52.87,"Alpha","database","baja","success"
13.83,3.91,226,0,52.98,19.46,"Alpha","api","baja","success"
13.03,12.84,228,0,71.8,37.06,"Alpha","database","alta","success"
6.78,13.06,232,0,76.76,15.04,"Gamma","auth","alta","success"
15.28,4.42,211,0,82.68,14.16,"Alpha","payments","baja","success"
9.9,4.76,234,2,63.13,1.66,"Delta","ui","media","success"
11.47,1.39,228,0,75.52,7.68,"Beta","ui","media","success"
5.24,8.05,219,1,84.91,35.6,"Alpha","notifications","media","success"
5.03,5.32,225,1,83.8,3.99,"Beta","notifications","baja","success"
12.24,5.24,221,1,76.18,23.23,"Alpha","auth","crítica","success"
13.21,2.39,226,0,64.2,22.01,"Delta","notifications","baja","success"
20.8,7.57,205,0,82.59,14.97,"Beta","notifications","media","success"
10.86,12.87,192,3,64.69,32.53,"Delta","notifications","media","success"
3.39,7.52,210,0,80.46,24.57,"Gamma","auth","media","success"
9.32,4.76,216,1,74.85,13.82,"Gamma","ui","alta","success"
22.53,9.03,226,3,57.96,34.32,"Alpha","ui","media","success"
18.6,1.95,211,NA,68.72,NA,"Beta","ui","crítica","rolled_back"
13.22,6.66,201,0,82.48,31.32,"Alpha","notifications","baja","success"
6.11,2.77,219,1,76.67,35.84,"Gamma","api","alta","success"
9.4,5.01,236,0,74.06,9.61,"Gamma","ui","crítica","success"
10.05,8.03,250,0,70.72,101.31,"Gamma","api","baja","success"
10.76,7.32,230,1,76.65,48.87,"Delta","auth","baja","success"
9.86,11.42,221,1,84.92,21.25,"Beta","api","alta","success"
10.42,11.4,235,0,55.39,1.26,"Beta","auth","baja","success"
10.79,2.68,218,1,58.45,28.32,"Alpha","api","baja","success"
10.71,10.04,234,1,82.79,1.57,"Gamma","ui","media","success"
5.28,7.21,238,0,80.22,14.48,"Beta","payments","alta","success"
18.11,3.36,216,0,56.43,4.95,"Beta","api","media","success"
15.9,6.79,231,1,69.06,2.38,"Delta","api","media","success"
9.85,4.05,226,1,67.94,0.87,"Gamma","notifications","media","success"
12.37,4.26,212,3,68.03,31.93,"Beta","database","crítica","success"
9.46,6.83,215,1,85.4,5.55,"Alpha","api","alta","success"
12.28,9.97,216,0,88.73,72.48,"Alpha","api","baja","success"
8.05,6.51,238,4,84.12,120.95,"Alpha","payments","baja","success"
17.07,5.64,199,1,46.73,6.09,"Delta","ui","baja","success"
9.03,15.37,237,0,75.79,23.31,"Alpha","ui","media","success"
4.77,8.24,221,3,86.15,1.88,"Gamma","api","media","success"
8.21,7.45,227,2,88.94,31.27,"Gamma","auth","media","success"
16.09,NA,237,1,74.39,NA,"Delta","api","media","failed"
12.69,4.63,232,4,61.27,12.41,"Beta","payments","baja","success"
14.35,2.15,221,2,90.11,15.39,"Alpha","auth","baja","success"
11.18,5.29,224,1,74.74,30.13,"Beta","auth","baja","success"
5.81,NA,219,0,61.88,26.09,"Gamma","notifications","baja","failed"
17.07,2.26,201,1,66.82,46.91,"Delta","api","alta","success"
4.98,NA,196,3,98.64,37.72,"Gamma","auth","alta","failed"
10.07,5.26,227,2,66,34.02,"Beta","api","media","success"
10.13,4.81,233,NA,62.4,2.92,"Beta","ui","alta","rolled_back"
8.03,6,225,2,73.37,25.69,"Delta","api","media","success"
5.87,NA,215,1,91.96,NA,"Delta","database","baja","failed"
14.86,5.1,217,0,60.95,24.24,"Alpha","api","baja","success"
17.04,10.82,238,1,34.59,9.16,"Alpha","database","baja","success"
6.02,4.94,225,2,59.55,15.23,"Beta","notifications","alta","success"
6.08,5.18,228,3,76.78,15.62,"Gamma","notifications","alta","success"
8.03,7.32,239,NA,75.74,NA,"Beta","api","alta","rolled_back"
6.14,NA,209,0,85.58,NA,"Gamma","payments","media","failed"
11.2,13.2,251,0,83.22,32.98,"Gamma","ui","alta","success"
18.68,NA,200,3,52.29,35.09,"Delta","api","baja","failed"
5.73,6.92,224,1,84.28,15.35,"Delta","api","alta","success"
3.73,3.72,214,1,69.96,5.44,"Gamma","database","media","success"
7.58,NA,218,1,93.36,NA,"Gamma","api","alta","failed"
14.47,2.5,212,1,88.78,29.44,"Gamma","notifications","baja","success"
9.38,8.12,227,0,77.08,52.65,"Gamma","api","baja","success"
10.62,3.74,175,1,59.38,11.88,"Beta","ui","baja","success"
6.93,NA,221,1,74.29,NA,"Alpha","notifications","media","failed"
10.47,5.14,224,0,92.99,5.5,"Alpha","notifications","baja","success"
11,NA,262,1,87.31,NA,"Beta","payments","alta","failed"
12.38,4.54,215,0,NA,21.33,"Gamma","notifications","baja","success"
8.49,NA,226,0,82.25,61.18,"Delta","payments","media","failed"
6.75,7.64,226,3,50.95,NA,"Gamma","api","alta","rolled_back"
5.4,NA,224,2,90.69,39.01,"Alpha","database","media","failed"
7.7,4.23,206,0,61.68,28.74,"Alpha","ui","media","success"
14.53,7.24,214,2,70.26,52.81,"Alpha","notifications","media","success"
4.2,NA,232,0,94.04,NA,"Alpha","ui","media","failed"
8.53,4.91,212,1,74.19,13.47,"Beta","api","baja","success"
10.46,6.85,209,0,80.96,44.07,"Gamma","auth","baja","success"
11.95,4.26,243,0,74.26,71.21,"Beta","database","alta","success"
25.53,7.23,217,1,87.4,39.62,"Gamma","ui","media","success"
6.84,4.78,216,1,78.99,2.22,"Delta","database","alta","success"
3.55,10.39,240,NA,84.38,48.88,"Alpha","ui","media","rolled_back"
7.33,9.23,193,4,70.65,7.98,"Alpha","ui","baja","success"
12.08,6.67,213,0,88.94,9.87,"Beta","api","media","success"
10.02,4.36,216,1,87.55,69.06,"Delta","ui","media","success"
9.68,6.51,234,1,75.28,21.04,"Beta","api","media","success"
15.37,2.63,209,2,70.57,15.5,"Alpha","notifications","media","success"
27.04,3.2,231,1,71.48,43.82,"Delta","api","media","success"
10.09,3.22,207,0,66.28,45.77,"Gamma","api","baja","success"
4.3,6.05,237,2,76.43,2.23,"Beta","database","alta","success"
7.77,7.9,228,0,76.17,18.64,"Beta","ui","baja","success"
10.43,2.73,226,1,39.9,28.57,"Alpha","api","baja","success"
14.03,2.04,209,1,41.74,9.46,"Alpha","payments","alta","success"
9.58,2.81,200,0,50.97,16.01,"Beta","auth","media","success"
10.54,NA,229,0,65.45,18.08,"Alpha","ui","alta","failed"
8.56,11.07,205,4,73.59,22.51,"Alpha","auth","alta","success"
5.39,20.24,252,1,69.17,64.54,"Beta","api","media","success"
8.24,9.93,216,3,48.34,7.39,"Delta","ui","alta","success"
7.06,6.73,201,3,90.17,7.39,"Beta","api","media","success"
12.84,8.23,243,0,76.7,16.6,"Alpha","database","media","success"
9.4,3.49,218,1,73.27,37.65,"Gamma","api","baja","success"
8.41,5.28,242,1,74.16,96.54,"Beta","api","baja","success"
7.28,5.56,205,2,92.14,50.03,"Gamma","api","alta","success"
5.42,8.13,224,1,92.22,16.63,"Alpha","ui","alta","success"
13.1,NA,219,0,65.71,5.64,"Alpha","auth","baja","failed"
5.55,5.18,224,4,84.14,12.05,"Gamma","ui","media","success"
10.49,3.07,226,1,90.45,15.62,"Alpha","ui","alta","success"
10.25,8.58,219,1,78.22,24.3,"Alpha","auth","media","success"
18.15,5.96,202,2,79.32,40.83,"Delta","auth","baja","success"
19.97,5.37,212,0,66.68,16.13,"Beta","notifications","baja","success"
12.83,5.31,230,2,96.48,8.33,"Alpha","database","alta","success"
10.03,5.79,253,1,97.93,0.58,"Alpha","api","media","success"
9.93,5.34,212,3,63.43,2.25,"Beta","ui","crítica","success"
17.31,2.76,222,2,71.66,32.93,"Beta","api","alta","success"
15.14,6.15,208,1,73.79,109.82,"Alpha","api","baja","success"
13.98,NA,183,1,81.7,8.04,"Gamma","database","media","failed"
9.37,7.65,222,1,87.92,3.11,"Delta","api","baja","success"
9.91,5.98,217,0,67.6,63.94,"Beta","api","media","success"
9.04,NA,194,2,66.8,5.29,"Delta","database","media","failed"
7.03,15.28,227,0,80.64,48.78,"Alpha","database","baja","success"
8.82,6.6,215,1,73.98,13.07,"Delta","ui","alta","success"
13.67,3.86,241,0,60.92,17.28,"Beta","auth","baja","success"
8.34,6.86,198,1,70.65,18.39,"Beta","database","media","success"
5.69,5.27,208,2,81.73,39.64,"Alpha","api","baja","success"
11.59,10.16,198,1,96.41,49.13,"Beta","ui","baja","success"
16.5,7.08,229,0,63.88,52.04,"Beta","auth","media","rolled_back"
4.15,2.4,209,0,61.83,53.39,"Delta","api","baja","success"
19.35,7.69,218,0,62.37,39.09,"Beta","ui","baja","success"
9.74,6.71,216,1,66.08,1.04,"Delta","notifications","media","success"
6.79,8.39,211,2,79.55,25.6,"Beta","api","baja","success"
12.97,3.44,202,NA,74.19,28.53,"Delta","auth","baja","rolled_back"
7.94,4.09,212,1,82.83,44.99,"Alpha","api","baja","success"
16.69,NA,227,4,93.97,NA,"Alpha","payments","media","failed"
8.95,2.35,193,1,65.4,7.3,"Alpha","notifications","media","success"
13.26,7.34,234,1,77.29,5.64,"Gamma","ui","media","success"
7.95,NA,213,1,92.08,28.56,"Gamma","auth","media","failed"
6.73,9.22,222,1,80.08,57.13,"Beta","auth","media","success"
8.8,4.66,215,0,82.4,6.76,"Gamma","auth","baja","success"
8.75,8.43,217,0,80.61,41.5,"Delta","api","alta","success"
11.5,15.43,234,0,79.14,7.66,"Alpha","notifications","baja","success"
20.22,4.09,205,1,84.4,105.59,"Gamma","database","baja","success"
17.83,NA,228,1,72.33,NA,"Delta","ui","baja","failed"
9.98,8.54,197,1,62.12,14.32,"Gamma","api","baja","success"
11.96,4.5,262,1,78.02,4.4,"Beta","ui","media","success"
19.52,4.08,208,2,39.67,32.71,"Beta","ui","baja","success"
10.67,12.68,218,2,65.67,36.24,"Alpha","api","media","success"
17.01,1.29,228,1,80.19,57.73,"Gamma","ui","media","success"
4.25,4.07,226,1,65.58,11.76,"Beta","auth","baja","success"
8.85,4.76,236,0,87.06,11.46,"Gamma","payments","alta","success"
9,12.39,206,0,92.69,8,"Alpha","api","baja","success"
7.47,2.75,215,0,61.97,5.61,"Gamma","api","alta","success"
20.59,NA,208,1,66.15,26.96,"Delta","ui","baja","failed"
25.25,NA,200,2,82.18,26.66,"Delta","api","baja","failed"
5.94,7.15,196,1,85.48,6.14,"Beta","database","alta","success"
12.59,5,202,3,58.99,9.92,"Delta","api","alta","success"
9.2,2.82,224,0,63.3,32.51,"Alpha","ui","baja","success"
9.26,7.31,217,1,88,19.04,"Alpha","ui","media","success"
24.27,9.49,257,1,72.98,1.71,"Beta","ui","media","success"
11.81,7.57,186,2,64.02,55.95,"Delta","ui","media","success"
8.9,3.51,210,0,91.93,3.52,"Delta","auth","baja","success"
5.74,9.4,222,0,59.95,2.24,"Alpha","api","media","success"
8.99,3.32,232,1,94.24,39.09,"Beta","ui","media","success"
8.94,8.93,241,2,76.84,7.18,"Beta","api","media","success"
11.41,1.34,236,0,80.58,9.42,"Beta","ui","crítica","success"
9.1,2.27,223,1,81.84,12.06,"Beta","database","alta","success"
5.93,9.23,234,1,78.8,25.74,"Delta","api","baja","success"
6.66,9.24,234,3,78.23,16.85,"Beta","api","alta","success"
6.22,2.74,228,3,58.16,32.02,"Beta","api","media","success"
7.75,11.35,209,0,NA,1.44,"Alpha","api","media","success"
18.08,12.21,218,2,81.91,39.77,"Alpha","api","baja","success"
11.68,5.47,217,0,49.01,1.11,"Gamma","api","media","success"
11.69,4,211,2,NA,7.87,"Alpha","api","media","success"
4.92,5.77,215,3,NA,8.22,"Alpha","auth","media","success"
7.27,4.11,231,1,89.04,2.96,"Gamma","auth","media","success"
4.17,11.95,232,0,NA,19.03,"Beta","auth","alta","success"
7.09,5.52,236,0,71.36,21.56,"Delta","database","alta","success"
4.39,5.46,233,2,76.33,21.32,"Gamma","ui","media","success"
3.01,12.37,230,0,64.49,9.83,"Alpha","api","crítica","success"
11.55,4.57,196,3,76.26,14.48,"Beta","ui","media","success"
12.5,NA,222,4,72.98,NA,"Gamma","ui","baja","failed"
19.26,5.29,238,NA,89.98,NA,"Alpha","auth","baja","rolled_back"
7.69,4.44,239,1,80.99,5.16,"Delta","api","media","success"
6.38,2.65,247,0,72.75,51.96,"Alpha","auth","baja","success"
7.84,8.48,243,0,76.42,24.51,"Gamma","auth","baja","success"
3.89,2.33,199,2,85.71,3.52,"Beta","ui","media","success"
9.5,NA,218,2,88.04,24.86,"Beta","api","alta","failed"
12.53,5.74,218,0,77.38,49.27,"Alpha","notifications","media","success"
6.86,7.65,214,0,24.01,27.59,"Beta","ui","alta","success"
4.51,3.96,233,1,71.3,27.63,"Delta","database","media","success"
8.41,6.21,228,1,60.67,1.37,"Alpha","ui","baja","success"
17.24,NA,225,1,93.29,57.45,"Gamma","ui","baja","failed"
9.98,NA,236,0,74.95,141.64,"Beta","api","alta","failed"
17.75,5.3,219,1,85.82,10.29,"Alpha","ui","media","success"
11.88,5.89,194,1,81.61,29.69,"Alpha","ui","media","success"
18.21,3.6,221,1,59.58,15.85,"Gamma","database","baja","success"
6.66,3.49,215,3,83.67,101.29,"Delta","database","baja","success"
14.75,3.03,236,1,97.29,4.33,"Alpha","ui","media","success"
9.66,4.9,226,0,70.76,1.57,"Gamma","auth","media","success"
8.91,6.31,231,1,85.06,29.16,"Beta","ui","baja","success"
4.72,1.97,240,3,59.96,1,"Delta","auth","baja","success"
5.21,5.46,200,0,44.87,2.52,"Beta","database","alta","success"
2.85,NA,217,1,NA,6.23,"Alpha","ui","baja","failed"
8.46,8.48,221,0,74.72,1.79,"Alpha","ui","baja","success"
5.58,2.12,250,0,43.15,76.69,"Beta","notifications","baja","success"
19.46,8.29,210,0,66.46,2.18,"Delta","api","media","success"
13.91,7.01,242,2,81.99,4.7,"Gamma","ui","baja","success"
29.62,8.14,245,2,84.64,24.89,"Gamma","ui","media","success"
6.93,5.61,225,1,62.25,1.19,"Delta","api","alta","success"
22.79,5.71,215,2,76.67,42.04,"Delta","api","media","success"
5.7,6.33,223,1,85.01,8.67,"Alpha","auth","media","success"
5.92,2.3,222,2,79.71,5.33,"Delta","auth","media","success"
9.65,4.08,227,2,93.12,7.97,"Gamma","api","baja","success"
17.44,12.02,229,1,90.73,13.39,"Alpha","api","baja","success"
14.11,3.16,229,1,51.67,12.99,"Alpha","auth","alta","success"
15.52,9.17,242,3,85.89,5.37,"Gamma","ui","baja","success"
10.41,6.22,200,2,65.96,1.01,"Beta","api","baja","success"
8.49,5.45,223,0,57.28,26.35,"Beta","database","alta","success"
10.74,7.78,219,0,91.87,7.25,"Beta","auth","baja","success"
13.48,1.62,200,0,72.94,33.46,"Gamma","api","baja","success"
11.73,10.05,240,1,53.94,84.83,"Alpha","api","media","success"
14.68,8.94,215,2,86.61,1.05,"Alpha","api","media","success"
12.57,2.84,201,0,92.72,6.4,"Beta","auth","crítica","success"
12.33,8.15,169,2,66.45,10.35,"Alpha","auth","alta","success"
14.97,3.25,239,0,79.23,5.79,"Delta","ui","media","success"
17.31,NA,222,0,92.28,17.42,"Delta","ui","baja","failed"
6.64,3.69,199,3,54.55,36.53,"Gamma","api","baja","success"
9.15,8.36,221,1,79.38,15.5,"Gamma","auth","baja","success"
11.18,2.6,205,5,62.3,47.62,"Gamma","notifications","baja","success"
6.53,2.71,245,2,72.78,9.27,"Alpha","auth","crítica","success"
13.08,10.4,203,0,82.89,7.03,"Beta","api","media","success"
9.44,8.01,206,2,90.2,24.24,"Gamma","api","baja","success"
14.51,3.89,232,1,78.97,24.75,"Alpha","ui","media","success"
7.21,3.3,192,1,83.29,9.09,"Alpha","api","baja","success"
7.61,1.44,235,2,76.83,11.35,"Delta","notifications","baja","rolled_back"
5.24,NA,241,1,70.22,NA,"Beta","api","media","failed"
5.57,1.06,200,1,72.31,42.38,"Beta","api","alta","success"
20.22,3.11,215,2,79.19,9.55,"Alpha","api","baja","success"
10.24,8,235,NA,70.07,NA,"Alpha","api","media","rolled_back"
13.19,4.69,209,1,65.72,1.17,"Alpha","auth","baja","success"
14.88,6.89,223,1,88,2.29,"Delta","ui","media","success"
11.03,2.28,225,0,91.13,19.34,"Beta","api","media","success"
6.69,8.98,195,2,98.04,34.94,"Gamma","api","media","success"
5.47,2.02,222,1,61.29,8.74,"Alpha","ui","alta","success"
7.96,3.73,226,2,68.72,11.89,"Beta","ui","baja","success"
8.43,4.03,203,2,68.73,13.38,"Delta","api","media","success"
8.81,6.41,247,1,64.86,4.94,"Beta","api","media","success"
23.88,6.77,231,3,89.67,11.34,"Gamma","ui","baja","success"
22.4,4.81,209,4,77.04,18.41,"Alpha","api","alta","rolled_back"
4.05,3.61,219,1,89.28,2.22,"Delta","auth","media","success"
10.78,5.81,211,0,62.95,2.11,"Beta","api","crítica","success"
11.95,3.75,220,2,71.52,26.94,"Gamma","ui","baja","rolled_back"
5.03,7.3,214,3,97.35,10.27,"Alpha","auth","baja","success"
8.76,6.12,215,2,56.02,37.4,"Gamma","ui","crítica","success"
6.73,2.34,216,NA,74.9,12.82,"Delta","payments","media","rolled_back"
31.87,6.08,190,4,58.06,36.22,"Gamma","auth","alta","success"
15.08,6.72,229,1,74.76,88.85,"Gamma","api","media","success"
5.52,5.11,211,3,95.66,1.71,"Delta","payments","media","success"
15.13,12.31,219,0,69.14,55.81,"Gamma","api","media","success"
10.58,2.35,236,1,74.98,18.94,"Alpha","payments","baja","success"
7.82,6.08,234,NA,76.33,18.08,"Alpha","auth","baja","rolled_back"
5.79,6.52,220,2,84.53,4.45,"Beta","ui","media","success"
12.81,6.36,248,0,80.66,77,"Alpha","notifications","alta","success"
7.31,1.87,219,NA,71.45,7.79,"Delta","database","baja","rolled_back"
11.03,1.52,241,2,NA,15.13,"Alpha","ui","media","success"
9.95,6.85,210,1,81.54,34.83,"Gamma","ui","baja","success"
12.55,6.15,229,0,77.6,3,"Alpha","payments","baja","success"
30.15,NA,234,1,94.17,NA,"Delta","ui","alta","failed"
12.92,5.05,203,0,64.51,62.96,"Beta","api","baja","success"
19.38,4.73,211,0,47.91,30.53,"Gamma","api","alta","success"
12.82,5.52,217,2,74.72,68.51,"Gamma","ui","media","success"
